model,scenario,regime,metric,reported_unit,complete_three_strategy,cached,naive,poolact,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
gemini-3.8-flash-medium,tuning,cost_moderate,gap_bon,Gap points,True,99.37882333796871,99.5014720470375,99.20040052995564,-0.3010715170818514,-0.30257996277635035,-0.17842280801306742,-0.17953805651963473,-0.3010715170818514
gemini-3.8-flash-medium,tuning,cost_moderate,gap_mi,Gap points,True,98.82435831031965,98.82487901510568,98.84083475590657,0.015955740800890794,0.01614546960229113,0.01647644558691752,0.016672453905730578,0.015955740800890794
gemini-3.8-flash-medium,tuning,cost_moderate,raw_perf_bon,0-100,True,94.46447646176374,94.52753950048375,94.41625078519185,-0.11128871529190576,-0.11773152657944541,-0.0482256765718887,-0.051051652831002325,-0.11128871529190576
gemini-3.8-flash-medium,tuning,cost_moderate,raw_perf_mi,0-100,True,94.2285434515388,94.25052282986817,94.26879292285001,0.018270092981836683,0.019384606507499846,0.04024947131121337,0.042714733600779375,0.018270092981836683
gemini-3.8-flash-medium,tuning,cost_tight,gap0_bon,Gap points,True,98.22301579466067,98.8830661457191,98.56271170382271,-0.3203544418963844,-0.323973006080025,0.33969590916204595,0.3458414572325763,-0.3203544418963844
gemini-3.8-flash-medium,tuning,cost_tight,gap0_mi,Gap points,True,96.04525993998818,95.93106912372679,97.57123446933822,1.640165345611436,1.7097332080142191,1.5259745293500373,1.5888077457477001,1.5259745293500373
gemini-3.8-flash-medium,tuning,cost_tight,gap_bon,Gap points,True,98.22301579466067,98.8830661457191,98.56271170382271,-0.3203544418963844,-0.323973006080025,0.33969590916204595,0.3458414572325763,-0.3203544418963844
gemini-3.8-flash-medium,tuning,cost_tight,gap_mi,Gap points,True,96.04525993998818,95.93106912372679,97.57123446933822,1.640165345611436,1.7097332080142191,1.5259745293500373,1.5888077457477001,1.5259745293500373
gemini-3.8-flash-medium,tuning,cost_tight,raw_perf_bon,0-100,True,93.89022412123504,94.22854317559135,94.13617341606705,-0.09236975952430271,-0.09802736666763012,0.2459492948320161,0.2619541034585726,-0.09236975952430271
gemini-3.8-flash-medium,tuning,cost_tight,raw_perf_mi,0-100,True,92.62486630015903,92.37390900099719,93.69008916395681,1.3161801629596255,1.424839737966943,1.0652228637977856,1.1500398395673184,1.0652228637977856
glm-5.3,evidence_audit,cost_moderate,evidence_acc_mi,0-100,True,66.8552036199095,65.49773755656109,80.20361990950227,14.705882352941174,22.45250431778929,13.348416289592762,19.96615905245347,13.348416289592762
glm-5.3,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,84.61538461538461,80.99547511312217,97.73755656108597,16.7420814479638,20.67039106145252,13.122171945701353,15.508021390374328,13.122171945701353
glm-5.3,evidence_audit,cost_moderate,label_acc_mi,0-100,True,75.3393665158371,75.7918552036199,80.88235294117648,5.090497737556575,6.7164179104477695,5.542986425339379,7.357357357357364,5.090497737556575
glm-5.3,evidence_audit,cost_moderate,label_acc_mv,0-100,True,93.66515837104072,92.76018099547511,98.19004524886877,5.42986425339366,5.853658536585371,4.524886877828052,4.8309178743961345,4.524886877828052
glm-5.3,evidence_audit,cost_tight,evidence_acc_mi,0-100,True,62.89592760180995,63.46153846153846,75.7918552036199,12.330316742081443,19.429590017825316,12.895927601809952,20.503597122302164,12.330316742081443
glm-5.3,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,65.61085972850678,66.06334841628959,81.90045248868778,15.83710407239819,23.972602739726035,16.289592760180994,24.827586206896555,15.83710407239819
glm-5.3,evidence_audit,cost_tight,label_acc_mi,0-100,True,86.65158371040724,86.65158371040724,85.06787330316742,-1.5837104072398205,-1.8276762402088753,-1.5837104072398205,-1.8276762402088753,-1.5837104072398205
glm-5.3,evidence_audit,cost_tight,label_acc_mv,0-100,True,89.14027149321267,90.49773755656109,92.3076923076923,1.8099547511312153,2.0000000000000018,3.167420814479641,3.5532994923857864,1.8099547511312153
glm-5.3,restricted_search,cost_moderate,f1_mi,0-100,True,62.01107715813598,59.94055508761391,65.90892422042904,5.968369132815134,9.957146916793302,3.89784706229306,6.285727068331792,3.89784706229306
glm-5.3,restricted_search,cost_moderate,f1_mv,0-100,True,65.67250831956714,62.0278196748785,65.74188338894221,3.7140637140637125,5.987738620398297,0.0693750693750701,0.10563791630660013,0.0693750693750701
glm-5.3,restricted_search,cost_tight,f1_mi,0-100,True,20.325540472599297,20.325540472599297,24.742512389571214,4.416971916971917,21.731141284663025,4.416971916971917,21.731141284663025,4.416971916971917
glm-5.3,restricted_search,cost_tight,f1_mv,0-100,True,20.85972850678733,20.85972850678733,30.005027652086476,9.145299145299145,43.84188961195468,9.145299145299145,43.84188961195468,9.145299145299145
glm-5.3,tuning,cost_moderate,gap0_bon,Gap points,True,99.11594132011041,99.00768631935762,99.3807389847863,0.37305266542868765,0.37679162022368207,0.26479766467589627,0.26715951152669337,0.26479766467589627
glm-5.3,tuning,cost_moderate,gap0_mi,Gap points,True,98.06133287597413,97.87332960162215,98.96582781948116,1.092498217859017,1.1162368975346615,0.9044949435070322,0.9223767584834119,0.9044949435070322
glm-5.3,tuning,cost_moderate,gap_bon,Gap points,True,99.11594132011041,99.00768631935762,99.3807389847863,0.37305266542868765,0.37679162022368207,0.26479766467589627,0.26715951152669337,0.26479766467589627
glm-5.3,tuning,cost_moderate,gap_mi,Gap points,True,98.06133287597413,97.87332960162215,98.96582781948116,1.092498217859017,1.1162368975346615,0.9044949435070322,0.9223767584834119,0.9044949435070322
glm-5.3,tuning,cost_moderate,raw_perf_bon,0-100,True,94.33241354094612,94.2712046481945,94.44778274606776,0.17657809787326073,0.18730862571685325,0.11536920512163817,0.12230070321646025,0.11536920512163817
glm-5.3,tuning,cost_moderate,raw_perf_mi,0-100,True,93.81974118727226,93.71726247999403,94.24208325368386,0.5248207736898252,0.5600043789177667,0.422342066411602,0.4501633249750503,0.422342066411602
glm-5.3,tuning,cost_tight,gap0_bon,Gap points,True,94.86674861114906,93.13167526208728,98.36588204730796,5.234206785220678,5.620221874556419,3.4991334361588997,3.6884719750452932,3.4991334361588997
