study_group,scenario,regime,strategy,reported_agents,effort,cohort,metric,mean,known_mean,expected_items,known_items,missing_items,expected_units,known_units,missing_units,unit
scaling,evidence_audit,cost_tight,cached,6,max,new,LA_MI,0.8491704374057315,0.8491704374057315,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,6,max,new,LA_MV,0.9004524886877827,0.9004524886877827,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,8,max,new,EA_MI,0.620475113122172,0.620475113122172,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,8,max,new,EA_MV,0.6606334841628959,0.6606334841628959,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,8,max,new,LA_MI,0.8252262443438915,0.8252262443438915,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,cached,8,max,new,LA_MV,0.8959276018099547,0.8959276018099547,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,2,max,new,EA_MI,0.5910633484162896,0.5910633484162896,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,2,max,new,EA_MV,0.6320297349709114,0.6320297349709114,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,2,max,new,LA_MI,0.8201357466063348,0.8201357466063348,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,2,max,new,LA_MV,0.8749191984486102,0.8749191984486102,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,4,max,new,EA_MI,0.5910633484162896,0.5910633484162896,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,4,max,new,EA_MV,0.6312863606981254,0.6312863606981254,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,4,max,new,LA_MI,0.8201357466063348,0.8201357466063348,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,4,max,new,LA_MV,0.8827407886231415,0.8827407886231415,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,6,max,new,EA_MI,0.5910633484162896,0.5910633484162896,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,6,max,new,EA_MV,0.6281512605042017,0.6281512605042017,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,6,max,new,LA_MI,0.8201357466063348,0.8201357466063348,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,6,max,new,LA_MV,0.8825145442792501,0.8825145442792501,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,8,max,new,EA_MI,0.5910633484162896,0.5910633484162896,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,8,max,new,EA_MV,0.6334841628959276,0.6334841628959276,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,8,max,new,LA_MI,0.8201357466063348,0.8201357466063348,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,naive,8,max,new,LA_MV,0.8868778280542986,0.8868778280542986,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,poolact,2,max,new,EA_MI,0.6312217194570136,0.6312217194570136,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,poolact,2,max,new,EA_MV,0.6425339366515838,0.6425339366515838,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,poolact,2,max,new,LA_MI,0.7963800904977376,0.7963800904977376,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,poolact,2,max,new,LA_MV,0.8280542986425339,0.8280542986425339,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,poolact,4,max,new,EA_MI,0.6787330316742082,0.6787330316742082,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,poolact,4,max,new,EA_MV,0.8099547511312217,0.8099547511312217,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,poolact,4,max,new,LA_MI,0.7771493212669683,0.7771493212669683,13,13,0,13,13,0,fraction
scaling,evidence_audit,cost_tight,poolact,4,max,new,LA_MV,0.9411764705882353,0.9411764705882353,13,13,0,13,13,0,fraction
