model,scenario,regime,metric,reported_unit,complete_three_strategy,naive,naive_raw,naive_complete_items,naive_expected_items,naive_cohort,naive_source_input,naive_source_row,cached,cached_raw,cached_complete_items,cached_expected_items,cached_cohort,cached_source_input,cached_source_row,poolact,poolact_raw,poolact_complete_items,poolact_expected_items,poolact_cohort,poolact_source_input,poolact_source_row,delta_vs_naive,relative_percent_vs_naive,delta_vs_cached,relative_percent_vs_cached,delta_vs_stronger_baseline
gemini-3.8-flash-medium,tuning,cost_tight,raw_perf_mi,0-100,False,92.37390900099719,0.9237390900099719,3,3,gemini_snapshot,gemini_absolute,156,,,1,3,gemini_snapshot,gemini_absolute,148,,,2,3,gemini_snapshot,gemini_absolute,164,,,,,
glm-5.3,evidence_audit,cost_moderate,evidence_acc_mi,0-100,True,65.49773755656109,0.6549773755656109,13,13,glm_original,old_absolute,1796,66.8552036199095,0.668552036199095,13,13,glm_original,old_absolute,1783,80.20361990950227,0.8020361990950227,13,13,glm_original,old_absolute,1809,14.70588235294118,22.45250431778929,13.348416289592768,19.96615905245349,13.348416289592768
glm-5.3,evidence_audit,cost_moderate,evidence_acc_mv,0-100,True,80.99547511312217,0.8099547511312217,13,13,glm_original,old_absolute,1797,84.61538461538461,0.8461538461538461,13,13,glm_original,old_absolute,1784,97.73755656108597,0.9773755656108597,13,13,glm_original,old_absolute,1810,16.7420814479638,20.67039106145252,13.122171945701355,15.508021390374328,13.122171945701355
glm-5.3,evidence_audit,cost_moderate,label_acc_mi,0-100,True,75.7918552036199,0.7579185520361991,13,13,glm_original,old_absolute,1802,75.3393665158371,0.753393665158371,13,13,glm_original,old_absolute,1789,80.88235294117648,0.8088235294117647,13,13,glm_original,old_absolute,1815,5.090497737556565,6.7164179104477695,5.542986425339369,7.357357357357364,5.090497737556565
glm-5.3,evidence_audit,cost_moderate,label_acc_mv,0-100,True,92.76018099547511,0.9276018099547512,13,13,glm_original,old_absolute,1803,93.66515837104072,0.9366515837104072,13,13,glm_original,old_absolute,1790,98.19004524886877,0.9819004524886877,13,13,glm_original,old_absolute,1816,5.4298642533936565,5.853658536585349,4.524886877828049,4.8309178743961345,4.524886877828049
glm-5.3,evidence_audit,cost_tight,evidence_acc_mi,0-100,True,63.46153846153846,0.6346153846153846,13,13,glm_rerun_20260912,rerun_aggregate,71,62.89592760180995,0.6289592760180995,13,13,glm_rerun_20260912,rerun_aggregate,67,75.7918552036199,0.7579185520361991,13,13,glm_rerun_20260912,rerun_aggregate,75,12.330316742081449,19.429590017825316,12.895927601809953,20.503597122302164,12.330316742081449
glm-5.3,evidence_audit,cost_tight,evidence_acc_mv,0-100,True,66.06334841628959,0.6606334841628959,13,13,glm_rerun_20260912,rerun_aggregate,72,65.61085972850678,0.6561085972850679,13,13,glm_rerun_20260912,rerun_aggregate,68,81.90045248868778,0.8190045248868778,13,13,glm_rerun_20260912,rerun_aggregate,76,15.837104072398189,23.972602739726035,16.289592760180994,24.827586206896555,15.837104072398189
glm-5.3,evidence_audit,cost_tight,label_acc_mi,0-100,True,86.65158371040724,0.8665158371040724,13,13,glm_rerun_20260912,rerun_aggregate,73,86.65158371040724,0.8665158371040724,13,13,glm_rerun_20260912,rerun_aggregate,69,85.06787330316742,0.8506787330316742,13,13,glm_rerun_20260912,rerun_aggregate,77,-1.5837104072398245,-1.8276762402088864,-1.5837104072398245,-1.8276762402088864,-1.5837104072398245
glm-5.3,evidence_audit,cost_tight,label_acc_mv,0-100,True,90.49773755656109,0.9049773755656109,13,13,glm_rerun_20260912,rerun_aggregate,74,89.14027149321267,0.8914027149321266,13,13,glm_rerun_20260912,rerun_aggregate,70,92.3076923076923,0.923076923076923,13,13,glm_rerun_20260912,rerun_aggregate,78,1.8099547511312153,2.0000000000000018,3.167420814479638,3.5532994923857864,1.8099547511312153
glm-5.3,restricted_search,cost_moderate,f1_mi,0-100,True,59.94055508761391,0.5994055508761391,39,39,glm_original,old_absolute,1872,62.01107715813598,0.6201107715813599,39,39,glm_original,old_absolute,1861,65.90892422042904,0.6590892422042904,39,39,glm_original,old_absolute,1883,5.968369132815132,9.957146916793281,3.8978470622930583,6.28572706833177,3.8978470622930583
glm-5.3,restricted_search,cost_moderate,f1_mv,0-100,True,62.0278196748785,0.620278196748785,39,39,glm_original,old_absolute,1873,65.67250831956714,0.6567250831956715,39,39,glm_original,old_absolute,1862,65.74188338894221,0.6574188338894221,39,39,glm_original,old_absolute,1884,3.714063714063709,5.987738620398297,0.0693750693750661,0.10563791630660013,0.0693750693750661
glm-5.3,restricted_search,cost_tight,f1_mi,0-100,True,20.325540472599297,0.20325540472599296,39,39,glm_original,old_absolute,1905,20.325540472599297,0.20325540472599296,39,39,glm_original,old_absolute,1894,24.742512389571214,0.24742512389571214,39,39,glm_original,old_absolute,1916,4.416971916971918,21.731141284663025,4.416971916971918,21.731141284663025,4.416971916971918
glm-5.3,restricted_search,cost_tight,f1_mv,0-100,True,20.85972850678733,0.2085972850678733,39,39,glm_original,old_absolute,1906,20.85972850678733,0.2085972850678733,39,39,glm_original,old_absolute,1895,30.005027652086476,0.30005027652086474,39,39,glm_original,old_absolute,1917,9.145299145299143,43.84188961195468,9.145299145299143,43.84188961195468,9.145299145299143
glm-5.3,tuning,cost_moderate,gap0_bon,Gap points,True,99.00768631935762,99.00768631935762,3,3,glm_original,old_gap0,39,99.11594132011041,99.11594132011041,3,3,glm_original,old_gap0,37,99.3807389847863,99.3807389847863,3,3,glm_original,old_gap0,41,0.37305266542868765,0.37679162022368207,0.26479766467589627,0.26715951152669337,0.26479766467589627
glm-5.3,tuning,cost_moderate,gap0_mi,Gap points,True,97.87332960162215,97.87332960162215,3,3,glm_original,old_gap0,40,98.06133287597413,98.06133287597413,3,3,glm_original,old_gap0,38,98.96582781948116,98.96582781948116,3,3,glm_original,old_gap0,42,1.092498217859017,1.1162368975346615,0.9044949435070322,0.9223767584834119,0.9044949435070322
glm-5.3,tuning,cost_moderate,gap_bon,Gap points,True,99.00768631935762,99.00768631935762,3,3,glm_original,old_absolute,2009,99.11594132011041,99.11594132011041,3,3,glm_original,old_absolute,1996,99.3807389847863,99.3807389847863,3,3,glm_original,old_absolute,2022,0.37305266542868765,0.37679162022368207,0.26479766467589627,0.26715951152669337,0.26479766467589627
glm-5.3,tuning,cost_moderate,gap_mi,Gap points,True,97.87332960162215,97.87332960162215,3,3,glm_original,old_absolute,2010,98.06133287597413,98.06133287597413,3,3,glm_original,old_absolute,1997,98.96582781948116,98.96582781948116,3,3,glm_original,old_absolute,2023,1.092498217859017,1.1162368975346615,0.9044949435070322,0.9223767584834119,0.9044949435070322
glm-5.3,tuning,cost_moderate,raw_perf_bon,0-100,True,94.2712046481945,0.942712046481945,3,3,glm_original,old_absolute,2014,94.33241354094612,0.9433241354094611,3,3,glm_original,old_absolute,2001,94.44778274606776,0.9444778274606775,3,3,glm_original,old_absolute,2027,0.17657809787325895,0.18730862571685325,0.1153692051216404,0.12230070321646025,0.1153692051216404
glm-5.3,tuning,cost_moderate,raw_perf_mi,0-100,True,93.71726247999403,0.9371726247999403,3,3,glm_original,old_absolute,2015,93.81974118727226,0.9381974118727225,3,3,glm_original,old_absolute,2002,94.24208325368386,0.9424208325368386,3,3,glm_original,old_absolute,2028,0.5248207736898269,0.5600043789177667,0.4223420664116073,0.4501633249750503,0.4223420664116073
glm-5.3,tuning,cost_tight,gap0_bon,Gap points,True,93.13167526208728,93.13167526208728,3,3,glm_rerun_20260912,rerun_aggregate,85,94.86674861114906,94.86674861114906,3,3,glm_rerun_20260912,rerun_aggregate,79,98.36588204730796,98.36588204730796,3,3,glm_rerun_20260912,rerun_aggregate,91,5.234206785220678,5.620221874556419,3.4991334361588997,3.6884719750452932,3.4991334361588997
glm-5.3,tuning,cost_tight,gap0_mi,Gap points,True,85.92950088398068,85.92950088398068,3,3,glm_rerun_20260912,rerun_aggregate,86,86.57074750139166,86.57074750139166,3,3,glm_rerun_20260912,rerun_aggregate,80,94.33103637151207,94.33103637151207,3,3,glm_rerun_20260912,rerun_aggregate,92,8.40153548753139,9.777242275472876,7.760288870120405,8.964100569878596,7.760288870120405
