model,regime,strategy,pools,mean_agents,mean_feedback_attempts,mean_feedback_visible,mean_unique_query_attempts,mean_unique_visible_queries,mean_hypothesis_attempts,mean_visible_hypotheses,mean_first_choice_unique_hypotheses,mean_within_agent_repeated_attempts,mean_cross_agent_overlap_queries,mean_unique_verified_correct_queries,mean_unique_verified_correct_nonempty,mean_semantic_redundancy_fraction,mean_correct_visible,mean_incomplete_visible,mean_irrelevant_visible,mean_other_visible,mean_withheld,mean_invalid_payload_attempts,mean_peer_snapshot_count,mean_peer_verified_correct_queries,mean_peer_only_verified_correct_queries,mean_final_matches_peer_only_verified,mean_final_matches_peer_only_verified_nonempty,mean_final_answer_parsed,mean_agents_with_peer_snapshot,mean_agents_with_peer_only_nonempty_final_match,mean_cache_hits,mean_cache_size,mean_graph_pending_claims
gpt-5.6-sol,cost_moderate,poolact,13,4.0,16.615384615384617,16.615384615384617,11.846153846153847,11.846153846153847,7.3076923076923075,7.3076923076923075,1.0,0.0,4.769230769230769,4.923076923076923,3.3846153846153846,0.40341237709658767,6.153846153846154,1.7692307692307692,8.692307692307692,0.0,0.0,0.0,16.23076923076923,7.153846153846154,5.3076923076923075,5.3076923076923075,4.3076923076923075,3.769230769230769,3.6923076923076925,1.3076923076923077,0.0,11.846153846153847,0.0
gpt-5.6-sol,cost_tight,cached,13,4.0,8.0,7.153846153846154,4.153846153846154,3.5384615384615383,3.076923076923077,2.6153846153846154,1.0,0.0,3.8461538461538463,1.0769230769230769,0.6153846153846154,0.493997668997669,1.3076923076923077,0.0,5.846153846153846,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,3.6923076923076925,0.0,0.0,0.38461538461538464,3.5384615384615383,0.0
gpt-5.6-sol,cost_tight,naive,13,4.0,8.076923076923077,6.769230769230769,4.461538461538462,3.4615384615384617,3.230769230769231,2.5384615384615383,1.0,0.0,3.6153846153846154,0.6923076923076923,0.38461538461538464,0.4541208791208791,0.6923076923076923,0.07692307692307693,6.0,0.0,1.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,3.923076923076923,0.0,0.0,0.0,0.0,0.0
gpt-5.6-sol,cost_tight,poolact,13,4.0,8.153846153846153,6.846153846153846,5.0,3.8461538461538463,4.461538461538462,3.769230769230769,1.0,0.0,3.1538461538461537,1.0769230769230769,0.7692307692307693,0.4256410256410256,1.0769230769230769,0.23076923076923078,5.538461538461538,0.0,1.3076923076923077,0.0,6.538461538461538,1.0769230769230769,1.0769230769230769,1.0,0.6153846153846154,3.923076923076923,3.8461538461538463,0.5384615384615384,0.0,3.8461538461538463,0.0
kimi-k3,cost_moderate,cached,13,4.0,43.84615384615385,43.0,22.23076923076923,21.846153846153847,10.0,10.0,1.0769230769230769,0.23076923076923078,21.384615384615383,8.384615384615385,4.230769230769231,0.4893957343618549,17.615384615384617,5.3076923076923075,20.076923076923077,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,3.1538461538461537,0.0,0.0,7.461538461538462,21.846153846153847,0.0
kimi-k3,cost_moderate,naive,13,4.0,38.30769230769231,37.30769230769231,20.76923076923077,20.23076923076923,10.0,9.76923076923077,1.0769230769230769,0.07692307692307693,17.46153846153846,7.461538461538462,4.153846153846154,0.45742326724108096,13.307692307692308,4.230769230769231,19.76923076923077,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6923076923076925,0.0,0.0,0.0,0.0,0.0
kimi-k3,cost_moderate,poolact,13,4.0,37.61538461538461,37.07692307692308,27.23076923076923,27.076923076923077,15.153846153846153,15.153846153846153,1.6153846153846154,0.0,10.384615384615385,14.0,7.615384615384615,0.27577140184558235,19.076923076923077,4.461538461538462,13.538461538461538,0.0,0.5384615384615384,0.0,36.53846153846154,37.23076923076923,30.153846153846153,26.615384615384617,13.76923076923077,3.3846153846153846,4.0,3.3076923076923075,0.23076923076923078,27.076923076923077,0.0
kimi-k3,cost_tight,cached,13,4.0,10.76923076923077,9.76923076923077,5.6923076923076925,4.846153846153846,4.076923076923077,3.6153846153846154,1.0,0.0,5.076923076923077,2.0,0.7692307692307693,0.46936823859900795,3.3076923076923075,0.3076923076923077,6.153846153846154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.769230769230769,0.0,0.0,0.07692307692307693,4.846153846153846,0.0
kimi-k3,cost_tight,naive,13,4.0,10.461538461538462,9.23076923076923,5.615384615384615,4.538461538461538,3.8461538461538463,3.3846153846153846,1.0769230769230769,0.0,4.846153846153846,1.6153846153846154,0.5384615384615384,0.4697298428067659,3.0,0.3076923076923077,5.923076923076923,0.0,1.2307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,3.6153846153846154,0.0,0.0,0.0,0.0,0.0
kimi-k3,cost_tight,poolact,13,4.0,11.615384615384615,9.307692307692308,9.0,6.923076923076923,6.3076923076923075,5.461538461538462,1.6923076923076923,0.0,2.6153846153846154,2.230769230769231,1.3076923076923077,0.2283575398960014,2.3846153846153846,0.46153846153846156,6.461538461538462,0.0,2.3076923076923075,0.0,8.538461538461538,4.384615384615385,4.153846153846154,3.769230769230769,1.7692307692307692,3.769230769230769,3.923076923076923,0.9230769230769231,0.0,6.923076923076923,0.0
qwen3.8-2.4t-a95b-fp8,cost_moderate,cached,13,4.0,44.38461538461539,42.53846153846154,20.923076923076923,20.0,10.076923076923077,9.846153846153847,1.0,0.0,23.46153846153846,8.384615384615385,4.846153846153846,0.529844199231498,20.23076923076923,4.076923076923077,18.23076923076923,0.0,1.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,3.923076923076923,0.0,0.0,4.846153846153846,20.0,0.0
qwen3.8-2.4t-a95b-fp8,cost_moderate,naive,13,4.0,39.46153846153846,37.76923076923077,19.153846153846153,18.307692307692307,9.76923076923077,9.384615384615385,1.0,0.0,20.307692307692307,8.23076923076923,4.3076923076923075,0.5142068170136699,17.23076923076923,3.8461538461538463,16.692307692307693,0.0,1.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
qwen3.8-2.4t-a95b-fp8,cost_moderate,poolact,13,4.0,37.76923076923077,36.76923076923077,27.615384615384617,27.076923076923077,14.846153846153847,14.846153846153847,1.2307692307692308,0.07692307692307693,10.076923076923077,13.615384615384615,7.923076923076923,0.26734444325537443,18.46153846153846,4.538461538461538,13.76923076923077,0.0,1.0,0.0,36.69230769230769,39.23076923076923,32.61538461538461,32.15384615384615,19.23076923076923,3.923076923076923,4.0,3.8461538461538463,0.07692307692307693,27.076923076923077,0.0
qwen3.8-2.4t-a95b-fp8,cost_tight,cached,13,4.0,11.846153846153847,9.615384615384615,5.846153846153846,4.461538461538462,4.461538461538462,3.230769230769231,1.0,0.0,6.0,2.230769230769231,1.1538461538461537,0.5058125635048712,3.6923076923076925,0.23076923076923078,5.6923076923076925,0.0,2.230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.15384615384615385,4.461538461538462,0.0
qwen3.8-2.4t-a95b-fp8,cost_tight,naive,13,4.0,11.846153846153847,9.76923076923077,5.3076923076923075,4.3076923076923075,3.6923076923076925,2.923076923076923,1.0,0.0,6.538461538461538,1.7692307692307692,0.7692307692307693,0.5512820512820512,3.6153846153846154,0.23076923076923078,5.923076923076923,0.0,2.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,3.923076923076923,0.0,0.0,0.0,0.0,0.0
qwen3.8-2.4t-a95b-fp8,cost_tight,poolact,13,4.0,12.0,9.76923076923077,8.76923076923077,6.923076923076923,6.384615384615385,5.384615384615385,1.6153846153846154,0.0,3.230769230769231,2.6923076923076925,2.076923076923077,0.26814851814851814,3.0,1.0769230769230769,5.6923076923076925,0.0,2.230769230769231,0.0,9.461538461538462,5.0,4.615384615384615,4.461538461538462,3.230769230769231,3.923076923076923,4.0,2.076923076923077,0.0,6.923076923076923,0.0
