model,system,scenario,slice_kind,slice,regime,strategy,metric,unit,N,expected_units,known_units,missing_units,expected_items,complete_items,repeats_min,repeats_max,full_mean,known_subset_mean,cohort_id,source_input,source_row,run_start_utc,run_end_utc,latest_selection,display_value,display_unit,status
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_tight,naive,gap_mi,Gap points,4,9,9,0,3,3,3,3,95.93106912372677,95.93106912372677,gemini_snapshot,gemini_absolute,152,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,95.93,points,known
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_tight,poolact,gap0_mi,Gap points,4,9,8,1,3,2,3,3,,97.9046550050381,gemini_snapshot,gemini_metrics,"[530,866,1343,1424,1436,1460,1486,1496,1574]",2026-09-11T09:35:12.476632+00:00,,derived_from_all_registered_saved_scalars; unknown_not_dropped,unknown,points,unknown
gemini-3.8-flash-medium,poolact,tuning,all,all,cost_tight,poolact,gap_mi,Gap points,4,9,8,1,3,2,3,3,,97.9046550050381,gemini_snapshot,gemini_absolute,160,2026-09-11T09:35:12.476632+00:00,,latest_effective_composite_or_current_snapshot,unknown,points,unknown
glm-5.3,poolact,evidence_audit,all,all,cost_moderate,cached,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.8461538461538461,0.8461538461538461,glm_original,old_absolute,1784,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,84.62,0–100,known
glm-5.3,poolact,evidence_audit,all,all,cost_moderate,naive,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.8099547511312217,0.8099547511312217,glm_original,old_absolute,1797,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,81.00,0–100,known
glm-5.3,poolact,evidence_audit,all,all,cost_moderate,poolact,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.9773755656108597,0.9773755656108597,glm_original,old_absolute,1810,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,97.74,0–100,known
glm-5.3,poolact,evidence_audit,all,all,cost_tight,cached,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.6561085972850679,0.6561085972850679,glm_rerun_20260912,rerun_aggregate,68,2026-09-12T05:42:28.731135511Z,2026-09-12T10:20:30.754083698Z,latest_registered_three_strategy_rerun,65.61,0–100,known
glm-5.3,poolact,evidence_audit,all,all,cost_tight,naive,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.6606334841628959,0.6606334841628959,glm_rerun_20260912,rerun_aggregate,72,2026-09-12T05:42:28.731135511Z,2026-09-12T10:20:30.754083698Z,latest_registered_three_strategy_rerun,66.06,0–100,known
glm-5.3,poolact,evidence_audit,all,all,cost_tight,poolact,evidence_acc_mv,fraction,4,13,13,0,13,13,1,1,0.8190045248868778,0.8190045248868778,glm_rerun_20260912,rerun_aggregate,76,2026-09-12T05:42:28.731135511Z,2026-09-12T10:20:30.754083698Z,latest_registered_three_strategy_rerun,81.90,0–100,known
glm-5.3,poolact,restricted_search,all,all,cost_moderate,cached,f1_mv,fraction,4,39,39,0,39,39,1,1,0.6567250831956715,0.6567250831956715,glm_original,old_absolute,1862,2026-09-09T05:17:33.061708+00:00,2026-09-09T18:42:11.600352+00:00,latest_available_not_rerun,65.67,0–100,known
