table,record,model,system,scenario,regime,strategy,slice_kind,slice,metric,field,historical,new,changed,delta,historical_identity,new_identity
by_repeat.csv,1178,glm-5.3,expgym,evidence_audit,cost_tight,single,all,all,evidence_acc,known_subset_mean,0.502262443438914,0.5158371040723982,True,0.013574660633484226,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1179,glm-5.3,expgym,evidence_audit,cost_tight,single,all,all,label_acc,full_mean,0.7360482654600301,0.7586726998491704,True,0.022624434389140302,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1179,glm-5.3,expgym,evidence_audit,cost_tight,single,all,all,label_acc,known_subset_mean,0.7360482654600301,0.7586726998491704,True,0.022624434389140302,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1181,glm-5.3,expgym,restricted_search,cost_moderate,single,all,all,f1,full_mean,0.5327608944768282,0.538631735964108,True,0.005870841487279788,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1181,glm-5.3,expgym,restricted_search,cost_moderate,single,all,all,f1,known_subset_mean,0.5327608944768282,0.538631735964108,True,0.005870841487279788,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1184,glm-5.3,expgym,restricted_search,cost_moderate,single,family,whatis,f1,full_mean,0.40649122119710357,0.41909626321391025,True,0.012605042016806678,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,1184,glm-5.3,expgym,restricted_search,cost_moderate,single,family,whatis,f1,known_subset_mean,0.40649122119710357,0.41909626321391025,True,0.012605042016806678,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,2386,kimi-k3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,full_mean,0.894419306184012,0.9200603318250377,True,0.02564102564102566,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,2386,kimi-k3,expgym,evidence_audit,cost_free,single,all,all,evidence_acc,known_subset_mean,0.894419306184012,0.9200603318250377,True,0.02564102564102566,published-297c3d0-historical-scoring,official-n4-rollback-20260919
by_repeat.csv,2387,kimi-k3,expgym,evidence_audit,cost_free,single,all,all,label_acc,full_mean,0.9260935143288085,0.9502262443438914,True,0.02413273001508287,published-297c3d0-historical-scoring,official-n4-rollback-20260919
