task,model,regime,gap0,repeats,slot_ids
hpobench:paramnet:adult:steps,gpt-5.6-sol,cost_tight,72.01344351468897,3,4752231fd35eb4dfc8ea5119;323139961f184c330df81942;60f49ea0bf3e94a25c3245fe
hpobench:paramnet:adult:steps,gemini-3.8-flash-medium,cost_tight,87.23184273904896,3,de2092490cc786c1a87a3983;02b86ef6e94952c7c2cadabf;26ffb6c81259b6118c943c1c
hpobench:paramnet:higgs:steps,kimi-k3,cost_free,94.14895296787446,3,600c1f668d876b2aa825ae25;62de6b633b65225edc9ff34c;0d38ce912b1cac591c24a375
hpobench:paramnet:higgs:steps,glm-5.3,cost_free,95.82900839148611,3,cdd7da56084540986056c421;1cf5fdf878a9593d10b913f6;945965c1f18ef19c3694ae31
hpobench:paramnet:higgs:steps,qwen3.8-2.4t-a95b-fp8,cost_free,93.99525263666794,3,a3072ba2a08f183d09b8d8da;4b435d4ea6263be4f948bf78;e7974ae6b41f5997694a3666
hpobench:paramnet:higgs:steps,deepseek-v4-flash-0731,cost_free,38.22407367323512,3,f52190f30fe09428607ac3fe;848a30d9deab1ebce72503fb;0e54fd58fba6fc237ae727fd
hpobench:paramnet:higgs:steps,gpt-5.6-sol,cost_free,94.81320083099271,3,9c02e81175e5a22f40c6438e;5f78f43e6c5eb1240acc424d;7922d08eca9654afdd9d14a7
hpobench:paramnet:higgs:steps,gemini-3.8-flash-medium,cost_free,96.13463349062079,3,98625201be0234298da43943;620c7d66e3a36aff9f84aac1;3613d41f36510bd99efc3d22
hpobench:paramnet:higgs:steps,kimi-k3,cost_moderate,89.08228548708622,3,fe26302add856bab4d31af19;6973fdb57b21ada29300113a;2dde2732f17fcf136953f1bd
hpobench:paramnet:higgs:steps,glm-5.3,cost_moderate,92.26926912954784,3,5c5e40203522eb64c4083b10;dea616120a7ecf148d3e2b73;3637ca57368e87fb21e79411
hpobench:paramnet:higgs:steps,qwen3.8-2.4t-a95b-fp8,cost_moderate,93.9899555393,3,4449366c633558391371358a;b789c152872f402128939708;cd23e10eda043185c66f97a3
hpobench:paramnet:higgs:steps,deepseek-v4-flash-0731,cost_moderate,92.65792672511434,3,38ce4364e2ac4d99378577a8;9a2688d625f35cd8fb7495b8;4f661afada9f4f48f3889e6a
hpobench:paramnet:higgs:steps,gpt-5.6-sol,cost_moderate,97.1469067315903,3,06a94a4f69e1f915c170b8fb;15f4db9b0624cacb6adc9eee;506a70d6ebc6558b07c2baf7
